SEXO, SEDE, CODIGO DEL PROGRAMA, PROGRAMA, CODIGO DE LA FACULTAD FACULTAD, FACULTAD, CODIGO DEL PAIS, PAIS NACIMIENTO, COD_DEPTO_NACE, DEPARTAMENTO_NACE, COD_MUNI_NACE, NOMBRE_MUNI_NACE, COD_PAIS_VIVE, PAIS_VIVE, COD_DEPTO_VIVE, DEPARTAMENTO_VIVE, COD_MUNI_VIVE, NOMBRE_MUNI_VIVE, CREDITOS_ULTIM_SEMEST_MATRIC, SEMESTRE_INICIA_PROGRAMA, CRED_CURS_PROG , CRED_APROB_PROG, PROMEDIO_SEMESTRE, PROMEDIO_PROGRAMA
FEME, APARTADO, 119, ADMINIST DE EMPRESA-APART, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 13, 20181, 13, 10, 3.33, 3.33

MASC, MEDELLIN, 506, ING DE SISTEMAS, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 21, 20181, 18, 18, 3.5, 3.5

FEME, MEDELLIN, 537, ING AMBIENTAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 368, JERICO, 46, COLOMBIA, 5, ANTIOQUIA, 368, JERICO, 13, 20181, 11, 11, 3.5, 3.5

FEME, CAUCASIA, 716, ING.AGROPECUARIA-CAUCASIA, 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 5, ANTIOQUIA, 495, NECHI, 46, COLOMBIA, 5, ANTIOQUIA, 495, NECHI, 12, 20171, 42, 42, 3.55, 3.74

FEME, CAUCASIA, 319, TRABAJO SOCIAL - CAUCASIA, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 495, NECHI, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 18, 20162, 68, 68, 3.83, 3.82

FEME, TURBO, 950, ECOL ZONAS COSTERAS-TURBO, 17, CORPORACIÓN AMBIENTAL, 46, COLOMBIA, 5, ANTIOQUIA, 490, NECOCLI, 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 12, 20171, 27, 18, 3.1, 3.17

FEME, APARTADO, 338, COMU SOCIAL PER - APARTAD, 12, FAC DE COMUNICACIONES, 46, COLOMBIA, 5, ANTIOQUIA, 147, CAREPA, 46, COLOMBIA, 5, ANTIOQUIA, 147, CAREPA, 23, 20181, 22, 22, 3.67, 3.67

FEME, APARTADO, 335, TRABAJO SOCIAL-APARTADÓ, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 147, CAREPA, 46, COLOMBIA, 5, ANTIOQUIA, 147, CAREPA, 16, 20172, 34, 34, 3.52, 3.46

FEME, CARMENVI, 821, TEC PROF AT PREHOSP-CARME, 30, FACULTAD DE MEDICINA, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 19, 20172, 44, 44, 3.47, 3.72

MASC, TURBO, 950, ECOL ZONAS COSTERAS-TURBO, 17, CORPORACIÓN AMBIENTAL, 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 11, 20181, 11, 8, 3.19, 3.19

FEME, CAUCASIA, 1688, LIC PED INFANTIL-CAUCASIA, 20, FACULTAD DE EDUCACIÓN, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 19, 20181, 16, 16, 4.23, 4.23

FEME, ANDES, 336, COMU SOCIAL PER -ANDES, 12, FAC DE COMUNICACIONES, 46, COLOMBIA, 5, ANTIOQUIA, 887, YARUMAL, 46, COLOMBIA, 5, ANTIOQUIA, 101, BOLIVAR, 8, 20132, 153, 153, 4.53, 4.29

FEME, APARTADO, 342, SOCIOLOGÍA - APARTADÓ, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 20, 20172, 44, 44, 4.03, 3.99

FEME, CARMENVI, 1478, LIC LENG EXTRANJ-CARMEN V, 13, ESCUELA DE IDIOMAS, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 46, COLOMBIA, 5, ANTIOQUIA, 148, CARMEN DE VIBOR, 16, 20181, 16, 16, 4.51, 4.51

MASC, CARMENVI, 547, ING. ENERG-CARMENVIBORAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 15, 20181, 20, 20, 3.94, 3.94

MASC, SONSON, 717, ING. AGROPECUARIA-SONSÓN, 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 5, ANTIOQUIA, 55, ARGELIA, 46, COLOMBIA, 5, ANTIOQUIA, 55, ARGELIA, 18, 20181, 17, 17, 3.61, 3.61

FEME, YARUMAL, 332, PSICOLOGÍA - YARUMAL, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 686, SANTA ROSA DE O, 46, COLOMBIA, 5, ANTIOQUIA, 686, SANTA ROSA DE O, 12, 20142, 178, 178, 4.8, 4.14

FEME, TURBO, 925, OCEANOGRAFÍA - TURBO, 17, CORPORACIÓN AMBIENTAL, 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 12, 20181, 15, 9, 3.28, 3.28

MASC, CAUCASIA, 716, ING.AGROPECUARIA-CAUCASIA, 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 23, CORDOBA, 466, MONTELIBANO, 46, COLOMBIA, 23, CORDOBA, 466, MONTELIBANO, 14, 20162, 60, 54, 3.95, 3.67

FEME, APARTADO, 339, PSICOLOGÍA - APARTADÓ, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 659, SAN JUAN DE URA, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 20, 20172, 48, 48, 3.93, 3.92

FEME, YARUMAL, 959, TEC SANEA/AMBIEN-YARUMAL, 70, FAC DE SALUD PÚBLICA, 46, COLOMBIA, 5, ANTIOQUIA, 134, CAMPAMENTO, 46, COLOMBIA, 5, ANTIOQUIA, 134, CAMPAMENTO, 18, 20162, 74, 70, 3.94, 3.98

FEME, CAUCASIA, 214, MATEMÁTICAS-CAUCASIA, 3, FAC CCIAS EXACTAS Y NAT, 46, COLOMBIA, 5, ANTIOQUIA, 250, EL BAGRE, 46, COLOMBIA, 5, ANTIOQUIA, 250, EL BAGRE, 12, 20142, 74, 62, 3.28, 3.52

FEME, CAREPA, 523, INGE BIOQUÍMICA-URABÁ, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 13, 20172, 28, 28, 3.89, 3.84

FEME, CAUCASIA, 319, TRABAJO SOCIAL - CAUCASIA, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 18, 20162, 68, 68, 3.77, 3.85

MASC, MEDELLIN, 506, ING DE SISTEMAS, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 101, BOLIVAR, 46, COLOMBIA, 5, ANTIOQUIA, 353, HISPANIA, 13, 20172, 31, 18, 1.95, 2.79

MASC, TURBO, 540, ING. OCEANOGRÁFICA-TURBO, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 13, 20172, 26, 17, 3.43, 3.21

FEME, CARMENVI, 206, BIOLOGÍA - CARMEN DE VIB., 3, FAC CCIAS EXACTAS Y NAT, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 46, COLOMBIA, 5, ANTIOQUIA, 148, CARMEN DE VIBOR, 18, 20182, 0, 10, 9.99, 9.99

FEME, TURBO, 759, TECN REG. FARMACIA -TURBO, 40, FAC CIEN FARMACÉUTI Y ALI, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 17, 20171, 49, 49, 4.16, 3.84

MASC, MEDELLIN, 514, ING INDUSTRIAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 656, SAN JERONIMO, 12, 20171, 27, 21, 3.2, 3.19

MASC, ANDES, 710, ING. AGROPECUARIA-ANDES, 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 5, ANTIOQUIA, 91, BETANIA, 46, COLOMBIA, 5, ANTIOQUIA, 91, BETANIA, 18, 20181, 17, 17, 3.92, 3.92

MASC, CAREPA, 356, DERECHO - CAREPA, 10, FACULTAD DE DERECHO, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 20, 20161, 102, 98, 3.36, 3.67

FEME, STAFEANT, 321, PSICOLOGÍA -STA FE ANTIOQ, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 42, STA FE DE ANT, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 24, 20172, 44, 40, 3.66, 3.92

MASC, MEDELLIN, 514, ING INDUSTRIAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 656, SAN JERONIMO, 9, 20151, 63, 56, 2.98, 3.36

MASC, CAUCASIA, 716, ING.AGROPECUARIA-CAUCASIA, 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 23, CORDOBA, 1, MONTERIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 14, 20162, 53, 45, 3.18, 3.37

FEME, TURBO, 540, ING. OCEANOGRÁFICA-TURBO, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 9, 20122, 160, 145, 3.84, 3.52

FEME, YARUMAL, 332, PSICOLOGÍA - YARUMAL, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 887, YARUMAL, 46, COLOMBIA, 5, ANTIOQUIA, 887, YARUMAL, 12, 20142, 178, 178, 4.46, 4.14

MASC, MEDELLIN, 506, ING DE SISTEMAS, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 68, SANTANDER, 745, SIMACOTA, 46, COLOMBIA, 68, SANTANDER, 745, SIMACOTA, 11, 20182, 0, 23, 9.99, 9.99

FEME, CARMENVI, 705, MEDIC VETERINAR-CARMEN V., 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 11, BOGOTA D.E., 1, SANTAFE DE BOGO, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 14, 20161, 71, 61, 3.76, 3.36

FEME, MEDELLIN, 537, ING AMBIENTAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 31, AMALFI, 46, COLOMBIA, 5, ANTIOQUIA, 31, AMALFI, 12, 20161, 53, 33, 3.05, 3.14

FEME, AMALFI, 111, ADM DE EMPRESAS- AMALFI, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 31, AMALFI, 46, COLOMBIA, 5, ANTIOQUIA, 31, AMALFI, 21, 20141, 121, 111, 3.92, 3.63

FEME, AMALFI, 1646, LIC HUMANIDADES L CAST-AM, 20, FACULTAD DE EDUCACIÓN, 46, COLOMBIA, 5, ANTIOQUIA, 31, AMALFI, 46, COLOMBIA, 5, ANTIOQUIA, 31, AMALFI, 18, 20171, 56, 56, 4.38, 4.2

MASC, APARTADO, 790, MICRO INDUS-AMB- APARTADÓ, 45, ESCUELA DE MICROBIOLOGÍA, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 18, 20152, 128, 123, 4.11, 3.91

FEME, CARMENVI, 705, MEDIC VETERINAR-CARMEN V., 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 20, 20182, 0, 36, 9.99, 9.99

MASC, CARMENVI, 1478, LIC LENG EXTRANJ-CARMEN V, 13, ESCUELA DE IDIOMAS, 46, COLOMBIA, 5, ANTIOQUIA, 2, ABEJORRAL, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 13, 20142, 128, 128, 4.84, 4.72

MASC, CARMENVI, 108, CONTADURÍA - C. VIBORAL, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 2, ABEJORRAL, 46, COLOMBIA, 5, ANTIOQUIA, 2, ABEJORRAL, 15, 20142, 146, 145, 3.8, 3.66

MASC, CARMENVI, 982, TEC SANEAM AMBIENT-CARMEN, 70, FAC DE SALUD PÚBLICA, 46, COLOMBIA, 5, ANTIOQUIA, 2, ABEJORRAL, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 18, 20171, 50, 50, 3.83, 3.77

MASC, STAFEANT, 113, ADMON DE EMPRESA-S FE ANT, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 42, STA FE DE ANT, 46, COLOMBIA, 5, ANTIOQUIA, 42, STA FE DE ANT, 12, 20152, 79, 63, 2.97, 3.04

MASC, STAFEANT, 113, ADMON DE EMPRESA-S FE ANT, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 42, STA FE DE ANT, 46, COLOMBIA, 5, ANTIOQUIA, 42, STA FE DE ANT, 3, 20141, 153, 150, 4.11, 3.71

FEME, SONSON, 341, COMU SOCIAL PER - SONSÓN, 12, FAC DE COMUNICACIONES, 46, COLOMBIA, 5, ANTIOQUIA, 55, ARGELIA, 46, COLOMBIA, 5, ANTIOQUIA, 55, ARGELIA, 18, 20162, 88, 84, 3.58, 3.59

FEME, YARUMAL, 332, PSICOLOGÍA - YARUMAL, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 38, ANGOSTURA, 46, COLOMBIA, 5, ANTIOQUIA, 38, ANGOSTURA, 12, 20142, 178, 178, 4.67, 4.1

FEME, YARUMAL, 332, PSICOLOGÍA - YARUMAL, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 38, ANGOSTURA, 46, COLOMBIA, 5, ANTIOQUIA, 38, ANGOSTURA, 12, 20142, 178, 178, 4.77, 4.28

MASC, YARUMAL, 959, TEC SANEA/AMBIEN-YARUMAL, 70, FAC DE SALUD PÚBLICA, 46, COLOMBIA, 5, ANTIOQUIA, 38, ANGOSTURA, 46, COLOMBIA, 5, ANTIOQUIA, 38, ANGOSTURA, 19, 20171, 50, 50, 4.3, 4.34

MASC, MEDELLIN, 506, ING DE SISTEMAS, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 129, CALDAS, 46, COLOMBIA, 5, ANTIOQUIA, 129, CALDAS, 21, 20162, 77, 56, 3.8, 2.95

FEME, ANDES, 114, CONTADURÍA - ANDES, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 17, 20172, 34, 29, 3.56, 3.55

MASC, ANDES, 710, ING. AGROPECUARIA-ANDES, 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 18, 20181, 17, 17, 3.82, 3.82

MASC, ANDES, 1640, LIC E HUMAN L CAST- ANDES, 20, FACULTAD DE EDUCACIÓN, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 23, 20152, 124, 124, 4.3, 4.13

FEME, ANDES, 767, TEC REG FARMACIA-ANDES, 40, FAC CIEN FARMACÉUTI Y ALI, 46, COLOMBIA, 5, ANTIOQUIA, 101, BOLIVAR, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 8, 20152, 67, 58, 4, 3.4

MASC, ANDES, 114, CONTADURÍA - ANDES, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 21, 20142, 117, 109, 3.59, 3.46

MASC, ANDES, 710, ING. AGROPECUARIA-ANDES, 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 18, 20161, 90, 90, 3.88, 3.72

FEME, ANDES, 1640, LIC E HUMAN L CAST- ANDES, 20, FACULTAD DE EDUCACIÓN, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 20, 20151, 130, 130, 4.29, 4.25

MASC, ANDES, 114, CONTADURÍA - ANDES, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 16, 20172, 33, 29, 3.5, 3.43

FEME, ANDES, 330, TRABAJO SOCIAL - ANDES, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 101, BOLIVAR, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 18, 20171, 50, 50, 4.34, 3.94

FEME, ANDES, 1640, LIC E HUMAN L CAST- ANDES, 20, FACULTAD DE EDUCACIÓN, 46, COLOMBIA, 5, ANTIOQUIA, 642, SALGAR, 46, COLOMBIA, 5, ANTIOQUIA, 642, SALGAR, 20, 20151, 130, 130, 4.63, 4.38

MASC, ANDES, 710, ING. AGROPECUARIA-ANDES, 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 15, 20171, 42, 33, 3.65, 3.51

FEME, ANDES, 330, TRABAJO SOCIAL - ANDES, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 18, 20171, 50, 50, 4.3, 3.92

FEME, ANDES, 710, ING. AGROPECUARIA-ANDES, 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 15, 20181, 17, 14, 3.38, 3.38

FEME, APARTADO, 335, TRABAJO SOCIAL-APARTADÓ, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 8, 20152, 92, 80, 3.6, 3.52

MASC, APARTADO, 545, INGENIERÍA CIVIL-APARTADÓ, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 20, 20171, 68, 68, 3.88, 3.95

MASC, TURBO, 925, OCEANOGRAFÍA - TURBO, 17, CORPORACIÓN AMBIENTAL, 46, COLOMBIA, 27, CHOCO, 800, UNGUIA, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 3, 20122, 142, 115, 4.5, 4.11

MASC, MEDELLIN, 506, ING DE SISTEMAS, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 22, 20162, 60, 48, 3.78, 3.23

MASC, APARTADO, 545, INGENIERÍA CIVIL-APARTADÓ, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 490, NECOCLI, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 16, 20181, 10, 6, 3.08, 3.08

FEME, TURBO, 105, ADMINIST DE EMPRESA-TURBO, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 9, 20122, 162, 153, 4.43, 3.83

MASC, TURBO, 950, ECOL ZONAS COSTERAS-TURBO, 17, CORPORACIÓN AMBIENTAL, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 16, 20181, 14, 13, 3.33, 3.33

MASC, TURBO, 312, PSICOLOGÍA - TURBO, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 27, CHOCO, 1, QUIBDO, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 10, 20141, 160, 144, 3.44, 3.38

FEME, APARTADO, 339, PSICOLOGÍA - APARTADÓ, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 22, 20171, 60, 60, 4.05, 4.11

MASC, TURBO, 709, ING. AGROPECUARIA - TURBO, 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 16, 20132, 168, 165, 4.36, 4.08

FEME, APARTADO, 120, CONTADURÍA - APARTADÓ, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 490, NECOCLI, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 19, 20161, 68, 64, 4.03, 4.02

FEME, TURBO, 922, GEST ECOL Y TURISMO-TURBO, 17, CORPORACIÓN AMBIENTAL, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 16, 20151, 87, 87, 4.35, 4.06

FEME, APARTADO, 339, PSICOLOGÍA - APARTADÓ, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 20, 20172, 48, 48, 4.12, 4.1

MASC, APARTADO, 545, INGENIERÍA CIVIL-APARTADÓ, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 12, 20172, 25, 14, 2.65, 2.9

FEME, TURBO, 922, GEST ECOL Y TURISMO-TURBO, 17, CORPORACIÓN AMBIENTAL, 46, COLOMBIA, 23, CORDOBA, 555, PLANETA RICA, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 16, 20151, 93, 90, 4.52, 4.15

FEME, TURBO, 312, PSICOLOGÍA - TURBO, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 6, 20141, 186, 182, 4.1, 3.75

MASC, APARTADO, 339, PSICOLOGÍA - APARTADÓ, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 24, 20152, 138, 138, 4.28, 3.98

